2025-10-19 14:47:03,123 | INFO | 🖥️ Using device: cpu
2025-10-19 14:47:21,706 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcd10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:23,220 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcd10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:24,457 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcd10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:25,706 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcd10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:27,156 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:28,359 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:29,595 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:30,806 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:32,254 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:33,482 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:34,688 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:35,915 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:37,408 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:38,615 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:39,867 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:41,096 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcd10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:42,582 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcd10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:43,833 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:45,413 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:46,907 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:48,118 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:49,323 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:50,777 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:52,284 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:53,887 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:55,095 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:56,304 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:57,734 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:58,936 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcc00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:59,937 | INFO | 🌐 Finished crawling 43 pages | 333 chunks
2025-10-19 14:47:59,937 | INFO | 📄 JSONL file saved: enriched_pages.jsonl
2025-10-19 14:47:59,937 | INFO | ✅ Data enrichment complete. No vector indexing performed.
